customer_id,age,gender,city,membership,signup_date,last_order_date,monthly_spend,visits,satisfaction,churn
C0001,28,Male,Incheon,Silver,2024-03-06,2026-04-05,41700,6,2,No
C0002,35,Female,Daegu,Gold,2024-05-11,2026-07-09,55400,11,3,No
C0003,42,Male,Seoul,Basic,2024-07-16,2026-02-13,69100,16,4,No
C0004,,Female,Busan,Silver,2024-09-21,2026-05-17,82800,3,5,No
C0005,56,Male,Incheon,Gold,2024-11-26,2026-08-21,96500,8,1,Yes
C0006,24,Female,Daegu,Basic,2024-01-04,2026-03-25,110200,13,2,No
C0007,31,Male,Seoul,Silver,2024-03-09,2026-06-02,123900,18,3,No
C0008,38,Female,Busan,Gold,2024-05-14,2026-01-06,137600,5,4,No
C0009,45,Male,Incheon,Basic,2024-07-19,2026-04-10,980000,10,5,No
C0010,52,Female,Daegu,Silver,2024-09-24,2026-07-14,165000,15,1,Yes
C0011,59,Male,,Gold,2024-11-02,2026-02-18,178700,2,2,Yes
C0012,27,Female,Busan,Basic,2024-01-07,2026-05-22,192400,7,3,No
C0013,34,Male,Incheon,Silver,2024-03-12,2026-08-26,206100,12,4,No
C0014,41,Female,Daegu,Gold,2024-05-17,2026-03-03,29800,17,5,No
C0015,48,Male,Seoul,Basic,2024-07-22,2026-06-07,43500,4,1,Yes
C0016,55,Female,Busan,Silver,2024-09-27,2026-01-11,57200,9,2,No
C0017,23,Male,Incheon,Gold,2024-11-05,2026-04-15,70900,14,3,No
C0018,30,Female,Daegu,Basic,2024-01-10,2026-07-19,84600,1,4,No
C0019,37,Male,Seoul,Silver,2024-03-15,2026-02-23,,6,5,No
C0020,44,Female,Busan,Gold,2024-05-20,2026-05-27,112000,11,1,Yes
C0021,51,Male,Incheon,Basic,2024-07-25,2026-08-04,125700,16,2,No
C0022,58,Female,Daegu,Silver,2024-09-03,2026-03-08,139400,3,3,Yes
C0023,26,Male,Seoul,Gold,2024-11-08,2026-06-12,720000,8,4,No
C0024,33,Female,Busan,Basic,2024-01-13,2026-01-16,166800,13,5,No
C0025,40,Male,Incheon,Silver,2024-03-18,2026-04-20,180500,18,1,Yes
C0026,47,Female,Daegu,Gold,2024-05-23,2026-07-24,194200,5,2,No
C0027,54,Male,Seoul,,2024-07-01,2026-02-01,207900,10,3,No
C0028,22,Female,Busan,Silver,2024-09-06,2026-05-05,31600,15,4,No
C0029,29,Male,Incheon,Gold,2024-11-11,2026-08-09,45300,2,5,No
C0030,36,Female,Daegu,Basic,2024-01-16,2026-03-13,59000,7,1,Yes
C0031,43,Male,Seoul,Silver,2024-03-21,2026-06-17,72700,12,2,No
C0032,50,Female,Busan,Gold,2024-05-26,2026-01-21,86400,17,,No
C0033,57,Male,Incheon,Basic,2024-07-04,2026-04-25,100100,4,4,Yes
C0034,25,Female,Daegu,Silver,2024-09-09,2026-07-02,113800,9,5,No
C0035,92,Male,Seoul,Gold,2024-11-14,2026-02-06,127500,14,1,Yes
C0036,39,Female,Busan,Basic,2024-01-19,2026-05-10,141200,1,2,No
C0037,46,Male,Incheon,Silver,2024-03-24,2026-08-14,154900,6,3,No
C0038,53,Female,Daegu,Gold,2024-05-02,,168600,11,4,No
C0039,21,Male,Seoul,Basic,2024-07-07,2026-06-22,182300,16,5,No
C0040,28,Female,Busan,Silver,2024-09-12,2026-01-26,196000,3,1,Yes
C0041,35,Male,Incheon,Gold,2024-11-17,2026-04-03,6500,8,2,No
C0042,42,Female,Daegu,Basic,2024-01-22,2026-07-07,33400,13,3,No
C0043,49,Male,Seoul,Silver,2024-03-27,2026-02-11,47100,18,4,No
C0044,56,Female,Busan,Gold,2024-05-05,2026-05-15,60800,5,5,Yes
C0006,24,Female,Daegu,Basic,2024-01-04,2026-03-25,110200,13,2,No
C0018,30,Female,Daegu,Basic,2024-01-10,2026-07-19,84600,1,4,No
